nodeID;1439;1440;1441;1442;1443;1444;1445;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;1484;1485;1486;1487;1488;1489;1490;1491;1492;1493;1494;1495;1496;1497;1498;1499;1500;1501;1502;1503;1504;1505;1506;1507;1508;1509;1510;1511;1512;1513;1514;1515;1516;1517;1518;1519
1439;0;5074;1693;40;6907;9817;7753;6386;8846;8818;1674;2225;1520;4919;6710;4968;6830;7749;9075;3176;9492;3415;9738;9150;8010;4729;6779;154;7776;6085;811;4023;2333;4955;2052;5139;2194;8286;1191;3102;1068;5532;2408;2387;9154;5434;8579;4635;3024;1794;5225;2107;2964;2809;1785;4855;6255;8926;9607;6281;6108;4497;5544;4318;7415;9462;2990;4691;6694;2927;1666;5290;2898;1346;9489;5359;3551;6864;6561;228;6897
1440;9803;0;6229;3434;5450;1177;6370;8539;9110;3415;6387;7897;6731;9571;7145;2575;3524;8067;4773;3930;4111;1896;3737;8350;7373;4497;1344;4068;5270;8779;7442;1368;7791;3413;5029;6363;8273;9369;2456;6935;6527;9262;1465;8715;8646;5036;693;8608;4514;1961;6408;2916;3053;6565;1798;5510;1923;2426;2692;4538;8628;2717;7508;5549;2178;7061;1167;4073;3268;6820;2101;3767;5407;2767;3935;8432;2882;7675;7878;1937;5020
1441;1953;205;0;4891;696;5744;4143;6170;6080;8723;4310;459;1818;9718;1810;2085;3521;272;8883;403;7527;8639;6942;2571;9689;3018;5051;371;8834;9589;4831;3765;7272;3551;1949;6326;8434;2418;940;9728;1974;6790;9751;1514;19;2293;5660;4023;4430;5537;4232;1594;2740;7672;9696;4784;3104;4050;2016;5702;2172;7495;8207;879;7288;2228;5810;3515;1231;5914;9323;2209;8423;8128;4547;8267;5989;8273;5668;9976;5777
1442;5315;2677;4725;0;9908;9767;8527;906;9407;8694;6532;8012;8566;7351;8020;6133;1777;8940;6970;1898;1254;912;141;4001;237;6697;2501;2117;8876;6273;8971;7699;1789;8704;3815;2350;434;4292;6386;1834;3800;1369;1089;9916;9306;9645;3080;4535;4821;2934;4447;9138;2068;3836;7551;2943;8276;254;8133;9183;7188;9380;288;5753;6506;5438;3939;7448;8888;8626;1883;2374;7105;4125;8636;8568;1132;8756;9688;2014;70
1443;9161;1323;9898;666;0;6026;4857;9230;4893;6116;9027;448;6139;6505;3954;9003;9947;1562;8370;8499;6351;8406;9009;261;4047;3637;6536;4336;5513;1007;5896;3123;7701;8798;1421;6352;8766;1200;4658;1755;673;396;6604;7961;55;4571;3014;8145;9875;1294;6145;5710;7966;5358;8543;7519;6572;3649;2020;3189;223;351;8524;7985;6093;625;9266;8563;6911;3607;1069;5752;5936;79;3086;8945;8963;9970;9879;1598;8808
1444;6693;9276;6028;7602;4606;0;5932;3343;876;8359;3945;412;7716;6853;3224;5364;8542;2742;7108;3063;6173;5749;9557;6653;1417;3011;7628;4566;3545;8646;4286;3950;3113;2479;5170;1313;8074;7524;7220;1490;2992;1918;581;423;8752;5114;107;9823;3637;8032;7046;4669;2194;4735;7122;3250;5574;128;6708;6269;8396;7242;9186;6266;9142;4407;5281;2205;3065;9131;3012;1853;1977;4684;7363;9324;4193;2343;6987;6087;2153
1445;6737;1953;9004;2546;1767;8816;0;2072;155;7594;5334;9332;6563;2249;8441;4126;4733;3961;751;3882;6991;974;9391;6039;4573;4515;8005;4059;9952;6341;7882;7221;7570;6529;6922;1105;6748;2010;1020;8609;3981;8152;7131;2408;9217;7562;6235;5147;6460;1042;5402;7204;8645;2839;264;5440;2823;9539;8695;6135;1687;6379;9823;8491;9127;4374;2628;6085;8761;3672;3668;642;1550;8621;4569;1247;8221;8721;1024;2496;2144
1446;5350;7301;7689;3282;2876;4328;5721;0;5936;7435;5644;2382;3319;9742;1542;9666;5967;3436;2633;5032;3582;9555;6944;2641;4375;9648;4423;5670;4818;7775;3176;9529;5619;6424;7786;7334;1966;6810;6071;7991;2506;3759;2814;8523;7706;773;5378;3674;5261;8733;8968;5862;3965;5188;9085;7152;7396;3657;224;1094;2600;1404;1975;4427;6421;1697;4717;6488;3223;8262;2966;5710;4498;4585;232;3391;6161;7388;6703;3489;1364
1447;1588;2791;6347;2582;7865;7698;5677;5295;0;2806;9335;6092;4183;4147;3417;1555;2434;8378;2410;544;9314;4036;2403;4945;7681;9718;6862;3752;5759;4211;7273;1778;4169;3278;4432;2241;6501;890;1343;4181;9592;6632;9328;7983;6652;3260;8324;4961;1020;100;484;5293;235;2364;5681;8114;8954;9283;9191;1530;3008;1495;638;3492;470;4681;1315;8256;3619;29;6746;6178;4438;4573;8178;5615;1467;304;7998;284;8527
1448;8019;5575;6418;2934;1584;2416;9907;8030;2831;0;5959;1330;8227;1947;9504;2642;709;3990;2306;5207;5240;8627;2279;6196;9629;3756;4855;8783;4700;5555;899;886;3423;5476;1562;4889;7787;4683;1370;3141;2331;5532;4178;9828;5508;8723;6460;773;6884;1768;4687;694;5637;2839;8557;4325;3540;5084;4932;3841;9532;7911;3364;5167;9265;868;1310;6393;2745;1620;939;2260;553;2472;635;6924;1522;5948;4761;5578;1923
1449;9025;703;9701;5733;6063;8930;9659;995;2267;2221;0;9772;2511;5813;1593;8528;1796;9678;1826;4834;1426;9520;1266;9731;6272;4524;3299;7436;1722;3083;1412;8093;8425;6325;935;880;533;7624;2777;6421;4225;9846;3101;1585;266;2939;4339;8579;1130;9911;6070;3097;2700;7723;1658;8621;2157;8379;3033;7076;8175;5654;1781;4764;1148;1606;9347;2657;1914;257;5007;9646;9841;3176;2075;923;9964;9737;8504;9889;1743
1450;5107;5843;9752;9410;4190;1004;7003;5850;1686;9251;4817;0;205;671;5623;4256;9360;5310;8607;6648;7291;4285;2989;9315;5603;4832;7311;8386;5574;6841;7323;84;5112;577;5644;4573;2981;934;894;9754;6953;7961;8201;6817;6018;9324;3859;8413;3955;9757;8988;6666;806;4679;9147;5475;6062;6486;5798;1505;9359;1306;8799;2037;5603;6630;9699;1041;9397;5504;8351;4389;4422;779;9132;5005;3550;2468;6873;7335;2980
1451;2870;5608;1688;5953;8493;1374;3286;905;8763;2750;6363;5464;0;364;5086;5718;7839;5092;1150;493;3073;6197;8072;3047;9949;1188;1153;3940;7095;3645;4554;7727;2261;4586;3844;3970;5527;5464;7020;7224;1024;7292;802;6820;2745;380;9299;5328;1361;8046;5310;9407;3947;783;9615;9132;3805;2787;6632;7718;7027;648;8029;4937;629;769;4721;8524;5108;5759;3909;2722;3171;548;645;546;9392;8608;6512;2928;8971
1452;7185;1943;7701;7920;7633;3418;8004;9645;7544;7335;7031;6297;2674;0;5841;6661;2366;7688;5137;8926;4288;9358;367;4084;6697;1686;995;7117;8848;1180;1719;5448;3237;6185;5665;9123;3658;418;9203;4573;5106;4232;6741;3162;3941;9092;2109;4419;6348;1584;653;1716;684;2893;3633;7671;6055;852;2549;9143;1309;5325;4299;236;6163;43;9942;7918;3071;9708;7485;9015;8198;5257;6490;3044;282;5276;7663;2115;1315
1453;5866;4404;9760;3058;8619;2145;4081;4804;2781;4821;3470;8483;4086;1126;0;2036;2614;5385;8266;6608;8989;4540;67;7379;8909;349;8482;3333;9555;581;9829;8990;5014;7905;9007;3768;7899;578;9109;7331;9978;6451;901;1867;2042;4788;2769;9579;4805;5286;7409;6576;6743;3999;736;6581;9990;8380;7941;1200;5417;827;3596;1918;9118;3159;3807;8965;8133;4884;269;219;7197;8550;3496;2144;4330;7780;3234;1719;2363
1454;1631;9399;833;7078;2933;4755;9441;6145;6422;6756;6142;2167;4805;1569;1738;0;128;4558;5229;2048;5813;9965;2802;5012;643;2514;5255;4596;9702;2471;51;1365;3642;1820;8275;9040;9850;9475;1547;7297;7255;3085;3512;5679;4286;9546;7432;7746;5304;7740;6794;9605;8327;713;9230;7706;26;2038;9407;3128;8933;5543;8438;2726;1310;2839;5137;5716;5148;4425;512;4653;8660;2239;6750;5738;6688;2962;5843;7371;2329
1455;5729;5475;5952;9666;7231;5279;6487;1086;4055;3648;7834;3241;6437;8952;6961;4965;0;5867;5863;7871;2885;1879;5597;5439;8097;1196;4446;5779;2412;7905;9490;8688;4703;7066;7496;5128;6737;2384;4840;2567;4295;5255;8238;6150;7177;6117;5759;5606;5152;1455;3646;5257;6191;5102;3193;4433;1800;6160;9754;7539;9249;1634;9702;9548;6471;5831;9760;2749;673;5802;142;2996;8846;5162;2172;6447;889;6085;3904;8064;8275
1456;9963;5370;1786;5544;4691;3800;8306;3975;266;1224;266;7943;6867;4121;4942;9687;768;0;268;7119;5109;7280;9249;5094;6304;1974;3319;6257;2145;7969;6501;9914;8631;9668;7550;2667;8434;6279;3051;1502;4021;7520;7663;3184;2484;4252;6927;3963;4044;796;6772;4050;4545;7719;7492;1892;4821;7232;4890;7574;5877;671;432;2431;5997;1010;9741;4702;7178;4346;5583;8197;8553;7826;5018;6998;3381;1969;2826;3714;6826
1457;6575;3404;4473;2435;8001;9513;8980;2484;3903;5493;6270;3408;3427;7473;453;1741;5684;7545;0;3914;7297;8818;1439;5893;4495;5416;9867;7913;1235;6788;1381;188;2331;1456;843;7055;4421;1383;9135;9408;6430;2296;4438;2491;6221;953;8323;9058;1419;9172;7195;8309;4118;3832;9065;2495;6409;7523;9889;9945;6002;981;7691;2024;4993;1618;982;5809;4856;2040;3234;9979;9866;6922;6474;8454;9575;9653;3040;1772;6402
1458;6426;4155;1715;7858;1348;265;3165;7457;1758;2326;6977;8575;5373;5044;7998;4223;8217;8271;9135;0;8717;2177;6402;5780;8263;6870;5809;7570;9748;6218;4918;2852;3381;5112;4291;5771;2181;4954;3867;4889;5012;9997;7190;7759;4231;5730;2028;2145;5320;9557;8032;927;1297;9133;6003;2040;3567;9615;9751;108;6229;5380;3311;6925;2468;9926;6222;2473;9027;4527;1090;9030;6299;550;3932;7166;1605;2563;4530;1060;9734
1459;7804;4542;5994;7556;2615;3931;8629;979;8466;3764;1080;5927;5901;7922;8845;6946;775;3768;973;3713;0;6660;3278;2377;2329;2155;8271;2138;2872;1789;5671;680;6777;1029;8535;7335;1874;2682;8899;9472;4837;7257;5049;1632;1263;7281;8506;3577;3252;9450;9892;2611;221;8437;510;1633;2842;5485;7624;9714;2497;4851;4559;9579;6938;9441;964;9348;3261;2384;8218;4972;8984;5465;1844;9494;92;2555;8994;6762;5208
1460;8487;907;8066;6521;7796;2054;43;2572;2921;7315;9365;5492;9755;5318;7374;917;117;1431;8570;842;6119;0;6141;7349;7696;7593;2455;6606;3850;5226;9820;8176;1022;5799;5794;7838;9639;4293;7766;6531;7539;3255;7716;5328;8989;4013;6030;8824;9192;4549;5975;8326;3310;1530;8921;1474;3213;439;350;8736;9766;9841;5258;5682;5385;1624;1003;7625;170;7633;1993;247;994;9262;2586;1511;3990;5958;8172;593;4279
1461;4087;8804;5280;1268;5161;4938;1857;5234;2871;5261;7809;6646;8533;1709;2615;3681;7317;8118;8548;1354;169;1062;0;3353;6189;9020;5901;6316;787;7643;5120;9124;6234;9543;5506;857;1368;8663;3611;3173;9669;6545;5922;6971;5402;7226;7428;9747;4801;9738;8083;1546;4336;7502;561;7323;2054;1035;1011;693;4603;5213;3624;991;6671;2372;2439;183;8654;193;6797;1034;6118;3148;394;4642;8690;6617;6536;5011;4074
1462;4292;3944;6142;8431;1063;2984;7376;1379;9573;4477;7900;7836;1890;9705;1348;2793;9070;4636;254;7120;197;7740;2455;0;7652;937;9234;8159;3247;75;1271;5485;7713;7942;3797;1052;3766;1705;2992;5134;4866;1886;2889;4002;4765;5205;502;6412;3969;7246;5892;1038;8467;1832;5123;2030;9251;7511;279;8379;9921;1735;8065;1442;9828;2155;2150;8375;4916;218;6620;3935;6446;4341;3750;3190;5845;2488;4896;3307;4144
1463;4734;7288;5467;1776;1911;7355;7715;9438;2737;6505;36;9112;900;2012;4268;9266;1192;4647;5707;6848;590;8326;5450;1171;0;2986;8291;9233;5346;5396;3898;976;2090;2364;2770;1826;4100;5800;9149;549;7002;688;9947;5128;9870;6661;5930;8115;9682;2365;3080;2327;1616;1725;6842;5525;5397;7661;2150;2315;7330;2194;9465;3764;8997;6714;1932;3176;7644;7621;5891;3677;5295;5037;8636;9775;858;5655;5747;7030;5413
1464;9779;936;9332;3069;303;6717;4322;6204;1655;2172;4550;3405;1340;6561;2767;3771;1967;5267;1598;7483;5985;1083;7912;4144;7252;0;4565;669;1474;1690;4478;3547;9660;8128;4731;6889;568;5726;8385;3756;125;1900;4047;6245;8555;4948;2690;9335;4603;4886;5264;900;3917;2095;8481;2295;6558;2526;9392;9652;4654;9483;8124;7844;9871;2530;806;2436;1824;1545;8151;3057;3301;5007;8527;8165;4819;4438;315;1283;6211
1465;2826;4966;102;8912;8803;5224;9389;8740;2167;6739;631;6566;8908;321;7355;1066;3365;5500;8781;2790;1914;7549;5054;640;1248;5572;0;4214;655;4664;766;1050;304;8088;8536;246;4681;5038;1374;8164;5517;2049;2937;4321;6823;4932;8873;8672;8861;5318;3930;6297;475;1513;9504;1003;6661;4371;9825;6185;2657;8774;8506;6369;6422;4249;8534;1112;6738;4065;3105;10;2270;3056;768;6216;1765;4129;1951;4387;4713
1466;9028;6884;621;9266;3753;570;1157;5698;987;2349;6758;9876;5514;9207;7678;3881;1760;8551;7789;626;3184;6236;6522;1625;3337;3276;1778;0;4189;2024;6001;2382;5068;4586;3305;6277;8396;7924;5408;1229;7582;1808;183;1958;2740;9690;481;7357;3399;5370;4638;6052;498;5429;4421;3867;6514;2756;7000;8437;5016;1668;7317;2834;9029;7657;919;692;2761;5558;4945;4869;9614;6148;3976;2636;402;4873;9940;2533;5036
